date,time,NEE.south,R.south,GPP.south,NEE.north,R.north,GPP.north
2014-08-01,12:00,2.81074,7.36053,-4.54979,3.0196,6.14811,-3.12851
2014-08-02,12:00,2.95363,6.68729,-3.73366,2.61636,5.65255,-3.03619
2014-08-03,12:00,3.04007,6.51396,-3.47389,3.14456,5.87167,-2.72712
2014-08-04,12:00,3.60547,7.41214,-3.80667,2.68361,6.40575,-3.72214
2014-08-05,12:00,4.41755,6.49637,-2.07883,4.20496,6.27905,-2.07409
2014-08-06,12:00,3.504,7.38725,-3.88324,3.25179,6.85739,-3.6056
2014-08-07,12:00,3.15501,7.32755,-4.17254,2.543,6.69591,-4.15291
2014-08-08,12:00,2.76859,7.4168,-4.3578,3.05146,6.50358,-3.45212
2014-08-09,12:00,3.94848,7.53757,-3.58909,3.16406,6.27419,-3.11014
2014-08-10,12:00,3.04484,6.5963,-3.55146,2.57547,5.5819,-3.00643
2014-08-11,12:00,3.63758,5.69289,-2.0553,2.46699,5.48918,-3.04403
2014-08-12,12:00,2.6987,7.17105,-4.47234,3.07569,5.86706,-2.79137
2014-08-13,12:00,2.268,6.83703,-4.68366,2.78679,5.45769,-2.6709
2014-08-14,12:00,2.77719,7.79692,-5.01973,2.21397,6.30819,-4.09422
2014-08-15,12:00,2.81451,7.10187,-4.28737,3.69608,6.17003,-2.47396
2014-08-16,12:00,3.00795,7.09079,-4.08283,3.13451,6.51733,-3.38282
2014-08-17,12:00,2.92778,7.68612,-4.75834,3.39207,6.59202,-3.19995
2014-08-18,12:00,3.81593,6.89003,-3.07409,3.75209,6.0565,-2.30441
2014-08-19,12:00,3.44802,6.53784,-3.08982,2.95177,5.79647,-2.8447
2014-08-20,12:00,2.98565,6.75038,-3.76472,3.37657,5.98439,-2.60782
2014-08-21,12:00,2.8298,7.23417,-4.40437,2.16467,5.96401,-3.79933
2014-08-22,12:00,3.10852,7.07773,-3.96921,2.74829,6.02432,-3.27603
2014-08-23,12:00,3.32497,7.76616,-4.44119,4.04116,6.83314,-2.79199
2014-08-24,12:00,3.42561,8.03669,-4.61108,3.72017,7.01191,-3.29174
2014-08-25,12:00,3.89735,8.27236,-4.37501,3.97203,7.81799,-3.84596
2014-08-26,12:00,5.0339,6.75813,-1.72423,3.7867,6.14807,-2.36137
2014-08-27,12:00,5.4049,7.94245,-2.53755,3.06274,7.02756,-3.96482
2014-08-28,12:00,3.11016,7.07858,-4.10636,2.94311,6.30821,-3.3651
2014-08-29,12:00,3.78088,6.87926,-2.58915,3.35358,5.8999,-2.54632
2014-08-30,12:00,3.51036,5.32261,-1.81225,4.8428,5.93016,-1.08736
2014-08-31,12:00,1.86481,6.00106,-4.13625,1.45931,5.16441,-3.70511
2014-09-01,12:00,4.45541,6.85284,-2.39742,3.91105,6.43418,-2.52313
2014-09-02,12:00,4.23491,6.22971,-1.9948,3.45525,5.81706,-3.60962
2014-09-03,12:00,3.1324,6.52087,-3.38848,2.89888,5.48055,-2.50706
2014-09-04,12:00,3.76182,5.53302,-1.9026,3.11944,5.39707,-2.27763
2014-09-05,12:00,3.08804,5.49581,-2.40778,2.85741,5.36782,-2.5104
2014-09-06,12:00,3.13631,5.83148,-2.69517,2.24602,4.71673,-2.47072
2014-09-07,12:00,2.50549,5.22201,-2.71651,2.44584,4.96403,-2.51819
2014-09-08,12:00,2.05781,6.3805,-4.42111,2.77015,5.54454,-2.77439
2014-09-09,12:00,2.48094,6.4535,-3.97256,3.04554,5.41967,-2.37413
2014-09-10,12:00,2.21782,6.23838,-3.8486,3.33269,5.67821,-2.34553
2014-09-11,12:00,2.86786,5.94458,-3.07673,3.17041,5.37512,-2.20472
2014-09-12,12:00,3.32485,5.00245,-1.89302,3.14099,5.48348,-2.34249
2014-09-13,12:00,3.07818,4.78645,-1.63961,2.41764,5.07621,-2.65857
2014-09-14,12:00,3.09366,4.84334,-1.71512,3.10886,5.65796,-2.54911
2014-09-15,12:00,3.69783,4.72603,-1.07433,3.33399,5.52614,-2.19215
2014-09-16,12:00,3.6553,5.2396,-1.54028,3.09448,5.81461,-2.72013
2014-09-17,12:00,5.12554,6.27737,-1.15184,3.39439,5.35455,-2.13678
2014-09-18,12:00,4.49874,5.69128,-1.19254,3.02891,4.75948,-1.73057
2014-09-19,12:00,2.72206,4.90622,-2.18415,2.69236,5.01701,-2.32466
2014-09-20,12:00,3.50536,5.20501,-1.69966,3.14136,5.42582,-2.28446
2014-09-21,12:00,3.24882,4.91608,-1.66725,3.23251,5.18003,-1.94752
